citation,auteur
Le prix est ce que vous payez ; la valeur est ce que vous obtenez.,Benjamin Graham
"Soyez craintif quand les autres sont avides, et avide quand les autres sont craintifs.",Warren Buffett
"Notre période de détention préférée, c’est pour toujours.",Warren Buffett
Règle n°1 : ne perdez jamais d’argent. Règle n°2 : n’oubliez jamais la règle n°1.,Warren Buffett
Le risque vient de ne pas savoir ce que l’on fait.,Warren Buffett
L’intérêt composé est la huitième merveille du monde.,Albert Einstein
"Dans le court terme, le marché est une machine à voter ; dans le long terme, une machine à peser.",Benjamin Graham
La marge de sécurité est le principe central de l’investissement.,Benjamin Graham
"Le plus important n’est pas d’avoir raison, mais de ne pas se ruiner.",John Maynard Keynes
Les marchés peuvent rester irrationnels plus longtemps que vous ne pouvez rester solvable.,John Maynard Keynes
L’objectif est de ne pas faire d’erreurs fatales.,Howard Marks
Ce que la sagesse dit est plus important que ce que l’intelligence calcule.,Howard Marks
"La chose la plus importante, c’est de penser en termes de probabilités.",Howard Marks
Il n’y a rien de plus irrationnel que d’investir de manière rationnelle,John Maynard Keynes 
Le temps est l’ami des bonnes entreprises.,Warren Buffett
"La meilleure protection contre l’inflation, c’est d’être excellent dans ce que vous faites.",Warren Buffett
"Investir, c’est mettre de l’argent aujourd’hui pour en recevoir davantage demain.",Warren Buffett
Vous ne pouvez pas prédire l’économie ; vous ne pouvez pas prédire le marché.,Peter Lynch
"Si vous n’aimez pas la volatilité, vous n’aimez pas les actions.",Peter Lynch
Tout le monde a le cerveau pour gagner de l’argent en bourse ; peu ont l’estomac.,Peter Lynch
Achetez ce que vous comprenez.,Peter Lynch
"La clé, c’est le bon sens, pas le QI.",Peter Lynch
"Plus les choses changent, plus elles restent les mêmes.",Jesse Livermore
Ce n’est jamais mon avis qui m’a fait gagner ; c’est mon assise.,Jesse Livermore
Coupez vite vos pertes et laissez courir vos gains.,Jesse Livermore
"Le marché ne se trompe jamais ; les opinions, souvent.",Jesse Livermore
Ne faites pas du trading pour être actif ; tradez quand l’avantage est clair.,Jesse Livermore
"La tendance est votre amie… sauf à la fin, quand elle se retourne.",Ed Seykota
"Les éléments d’un bon trading : (1) couper les pertes, (2) couper les pertes, (3) couper les pertes.",Ed Seykota
Il peut coûter très cher d’essayer de convaincre le marché que vous avez raison.,Ed Seykota
Les marchés sont fondamentalement volatils. Il n’y a pas d’échappatoire.,Ed Seykota
Les expériences de trading dramatiques et émotionnelles sont souvent négatives.,Ed Seykota
"Si je ne peux pas dormir avec une position, je la réduis.",Ed Seykota
Je suis toujours en train de chercher ce qui peut mal tourner.,Ed Seykota
Votre problème n’est pas dans les maths ; il n’y a pas de maths qui suppriment l’incertitude.,Ed Seykota
Je ne laisse jamais un gain devenir une perte.,Paul Tudor Jones
Je pense d’abord à perdre de l’argent plutôt qu’à en gagner.,Paul Tudor Jones
Ne cherchez pas à être un héros. N’ayez pas d’ego.,Paul Tudor Jones
Le contrôle du risque est la chose la plus importante en trading.,Paul Tudor Jones
"Si une position va contre moi, je sors tout de suite.",Paul Tudor Jones
Ne jouez jamais au macho avec le marché.,Paul Tudor Jones
"Si vous avez un doute, réduisez.",Paul Tudor Jones
Vous devez toujours connaître votre point de pire cas.,Richard Dennis
Je ne sais pas où ira le marché ; je sais quoi faire si j’ai tort.,Richard Dennis
Je préfère une grande perte évitée à un petit gain réalisé.,Richard Dennis
N’importe qui peut suivre des règles ; peu peuvent les suivre quand ça fait mal.,William Eckhardt
"Une bonne stratégie, c’est celle que vous pouvez exécuter.",William Eckhardt
"Le risque, c’est ce qui reste quand vous croyez avoir tout prévu.",William Eckhardt
Les grands gains viennent de quelques trades.,William Eckhardt
"Ce n’est pas l’analyse qui manque, c’est la discipline.",Mark Douglas
"La constance vient d’un état d’esprit, pas d’un indicateur.",Mark Douglas
"Acceptez le risque, ou le marché vous le fera accepter.",Mark Douglas
Vous n’avez pas besoin de savoir ce qui va se passer ensuite pour gagner de l’argent.,Mark Douglas
La perte fait partie du jeu ; l’erreur est de ne pas la contrôler.,Mark Douglas
"Si vous n’avez pas un avantage, vous avez un pari.",Nassim Nicholas Taleb
La survie est le premier objectif.,Nassim Nicholas Taleb
Évitez la ruine : c’est la seule règle vraiment universelle.,Nassim Nicholas Taleb
La plupart des gens confondent volatilité et risque.,Nassim Nicholas Taleb
Les cygnes noirs dominent l’histoire.,Nassim Nicholas Taleb
La diversification est une protection contre l’ignorance.,Harry Markowitz
Il n’y a pas de déjeuner gratuit.,Milton Friedman
Achetez quand il y a du sang dans les rues.,Baron Rothschild
"Le pire ennemi de l’investisseur, c’est souvent lui-même.",Benjamin Graham
La clé de l’investissement est de gérer la psychologie.,Benjamin Graham
"Vous ne pouvez pas contrôler les rendements, seulement le risque et les coûts.",Jack Bogle
"En investissement, vous obtenez ce que vous ne payez pas en frais.",Jack Bogle
Restez dans le marché : le timing est un jeu perdant pour la plupart.,Jack Bogle
Simple bat compliqué.,Jack Bogle
Le bon investissement est ennuyeux.,Jack Bogle
"Le plus important, c’est de protéger le capital, puis de le faire croître.",Ray Dalio
La douleur + la réflexion = le progrès.,Ray Dalio
Sachez ce que vous ne savez pas.,Ray Dalio
Diversifiez bien ou vous ne diversifiez pas.,Ray Dalio
La réalité est le test ultime.,Ray Dalio
"Quand les faits changent, je change d’avis. Et vous ?",John Maynard Keynes
L’investissement est le déplacement d’argent du présent vers le futur.,Warren Buffett
Cherchez les entreprises merveilleuses à un prix correct.,Warren Buffett
Il vaut mieux acheter une bonne entreprise à un prix correct qu’une entreprise correcte à bon prix.,Warren Buffett
"Le marché est là pour vous servir, pas pour vous guider.",Warren Buffett
La volatilité n’est pas le risque.,Warren Buffett
La patience est un avantage concurrentiel.,Charlie Munger
"Le grand argent n’est pas dans l’achat ou la vente, mais dans l’attente.",Charlie Munger
Connaître ce que vous ne savez pas est plus utile qu’être brillant.,Charlie Munger
Évitez les erreurs stupides : elles coûtent cher.,Charlie Munger
Prenez une idée simple et prenez-la au sérieux.,Charlie Munger
"L’effet de levier, c’est l’inverse de la marge de sécurité.",Charlie Munger
"Les opportunités viennent rarement ; quand elles viennent, frappez fort.",Charlie Munger
Le pessimisme est utile ; la panique est inutile.,Charlie Munger
"Le bon trader pense en scénarios, pas en certitudes.",George Soros
Ce n’est pas si vous avez raison ou tort ; c’est combien vous gagnez quand vous avez raison et combien vous perdez quand vous avez tort.,George Soros
Les marchés reflètent toujours un biais : ils sont intrinsèquement instables.,George Soros
Je suis riche parce que je sais quand j’ai tort.,George Soros
La première règle : ne pas se laisser surprendre.,Stanley Druckenmiller
Le but est de préserver le capital et les munitions.,Stanley Druckenmiller
"Je cherche l’asymétrie : peu de risque, gros potentiel.",Stanley Druckenmiller
Ne combattez pas la Fed.,Proverbe de marché
La tendance est votre amie.,Proverbe de marché
"Achetez la rumeur, vendez la nouvelle.",Proverbe de marché
Les arbres ne montent pas jusqu’au ciel.,Proverbe de marché
Le marché a toujours raison… sur le prix.,Proverbe de marché
Les pertes sont le coût de l’information.,Proverbe de trader
Le marché récompense la patience et punit la précipitation.,Proverbe de trader
La liquidité disparaît quand vous en avez le plus besoin.,Proverbe de marché
Le risque se cache dans ce qui paraît certain.,Proverbe de trader
"Si c’est évident, c’est déjà dans le prix.",Proverbe de marché
Un bon plan exécuté imparfaitement vaut mieux qu’un plan parfait jamais exécuté.,Anonyme
"Le trading est simple, mais pas facile.",Anonyme
La discipline est une stratégie.,Anonyme
L’ennui est souvent un signal : restez calme.,Anonyme
Le meilleur trade est parfois de ne pas trader.,Anonyme
"Si vous ne pouvez pas définir votre risque, vous n’êtes pas en trade.",Anonyme
Gagnez en moyenne plus que ce que vous perdez en moyenne.,Anonyme
Une série de petites erreurs peut faire une grande perte.,Anonyme
Les marchés enseignent l’humilité.,Anonyme
Réduisez la taille quand vous doutez.,Anonyme
Le plan protège contre l’impulsivité.,Anonyme
Ne confondez pas activité et performance.,Anonyme
Votre taille de position dicte votre psychologie.,Anonyme
Le risque est une variable ; le prix est un fait.,Anonyme
"Si vous suivez votre plan, vous avez déjà gagné.",Anonyme
L’argent facile est souvent l’argent repris.,Anonyme
Une bonne entrée ne compense pas une mauvaise gestion du risque.,Anonyme
La gestion du risque est l’avantage invisible.,Anonyme
"Les marchés paient la patience, pas l’impatience.",Anonyme
La constance bat l’intensité.,Anonyme
"Concentrez-vous sur le processus, pas sur le PnL.",Anonyme
Votre job est de gérer la perte ; le gain se gère tout seul.,Anonyme
Ne cherchez pas des certitudes : cherchez un edge.,Anonyme
Un edge sans discipline n’est pas un edge.,Anonyme
Ce que vous ne faites pas compte autant que ce que vous faites.,Anonyme
Le drawdown est le prix à payer pour l’upside.,Anonyme
Le capital mental est aussi important que le capital financier.,Anonyme
"Quand vous êtes fatigué, votre avantage diminue.",Anonyme
Le marché n’a pas d’obligation de vous payer aujourd’hui.,Anonyme
Une stratégie rentable peut être inconfortable.,Anonyme
"Le risque se mesure avant l’entrée, pas après.",Anonyme
"Si vous doublez pour vous refaire, vous n’êtes plus en trading.",Anonyme
"Un stop n’est pas une opinion, c’est une assurance.",Anonyme
Les stops mentaux finissent souvent par être des stops inexistants.,Anonyme
"Le meilleur filtre, c’est la qualité des setups.",Anonyme
Le temps passé sans position fait partie du métier.,Anonyme
Les meilleures opportunités sont rares : attendez.,Anonyme
La simplicité réduit les erreurs.,Anonyme
Un bon journal transforme l’expérience en apprentissage.,Anonyme
"On ne contrôle pas le résultat d’un trade, seulement sa qualité.",Anonyme
La répétition construit la confiance.,Anonyme
Un trade n’est qu’un événement parmi une série.,Anonyme
La variance n’est pas un jugement.,Anonyme
L’exécution est votre alpha.,Anonyme
Le marché est le professeur le plus cher.,Anonyme
Les règles vous libèrent.,Anonyme
